 val,Flawlesss,Good,Poor,Category,Product model,Weight lb,Year,Space,Network,Color,Generation,Screen Size,Retina Display ,Memory,Hard Disk,Processor
iPhone 5 AT&T 32GB Black,343.2,316.8,105.6,iPhone,iPhone 5,1,,32GB, AT&T,Black,,,,,,
iPhone 5 AT&T 16GB  White,308,264,132,iPhone,iPhone 5,1,,16GB, AT&T,White,,,,,,
iPhone 5 AT&T 16GB  Black,290.4,246.4,88,iPhone,iPhone 5,1,,16GB, AT&T,Black,,,,,,
,,,,,,,,,,,,,,,,
iPhone 4S Unlocked 64GB White,220,198,101.2,iPhone,iPhone 4S,1,,64GB,Factory Unlocked,White,,,,,,
iPhone 4S Unlocked 64GB Black,211.2,189.2,96.8,iPhone,iPhone 4S,1,,64GB,Factory Unlocked,Black,,,,,,
iPhone 4S Unlocked 32GB White,211.2,184.8,88,iPhone,iPhone 4S,1,,32GB,Factory Unlocked,White,,,,,,
iPhone 4S Unlocked 32GB Black,198,176,79.2,iPhone,iPhone 4S,1,,32GB,Factory Unlocked,Black,,,,,,
iPhone 4S Unlocked 16GB  White,193.6,171.6,74.8,iPhone,iPhone 4S,1,,16GB,Factory Unlocked,White ,,,,,,
iPhone 4S Unlocked 16GB  Black,189.2,167.2,74.8,iPhone,iPhone 4S,1,,16GB,Factory Unlocked,Black,,,,,,
,,,,,,,,,,,,,,,,
iPhone 4S - Sprint - 64GB White,352,316.8,132,iPhone,iPhone 4S,1,,64GB,Sprint,White,,,,,,
iPhone 4S - Sprint - 64GB Black,316.8,299.2,105.6,iPhone,iPhone 4S,1,,64GB,Sprint,Black,,,,,,
iPhone 4S - Sprint - 32GB  White,299.2,272.8,83.6,iPhone,iPhone 4S,1,,32GB,Sprint,White,,,,,,
iPhone 4S - Sprint - 32GB  Black,281.6,255.2,79.2,iPhone,iPhone 4S,1,,32GB,Sprint,Black,,,,,,
iPhone 4S - Sprint - 16GB White,264,237.6,66,iPhone,iPhone 4S,1,,16GB,Sprint,White,,,,,,
iPhone 4S - Sprint - 16GB Black,246.4,220,57.2,iPhone,iPhone 4S,1,,16GB,Sprint,Black,,,,,,
,,,,,,,,,,,,,,,,
iPhone 4S - Verizon - 64GB White,352,316.8,132,iPhone,iPhone 4S,1,,64GB,Verizon,White,,,,,,
iPhone 4S - Verizon - 64GB Black,316.8,299.2,105.6,iPhone,iPhone 4S,1,,64GB,Verizon,Black,,,,,,
iPhone 4S - Verizon - 32GB  White,299.2,272.8,83.6,iPhone,iPhone 4S,1,,32GB,Verizon,White,,,,,,
iPhone 4S - Verizon - 32GB  Black,281.6,255.2,74.8,iPhone,iPhone 4S,1,,32GB,Verizon,Black,,,,,,
iPhone 4S - Verizon - 16GB White,264,237.6,66,iPhone,iPhone 4S,1,,16GB,Verizon,White,,,,,,
iPhone 4S - Verizon - 16GB Black,246.4,220,57.2,iPhone,iPhone 4S,1,,16GB,Verizon,Black,,,,,,
,,,,,,,,,,,,,,,,
iPhone 4S AT&T 64GB White,220,198,101.2,iPhone,iPhone 4S,1,,64GB,AT&T,White,,,,,,
iPhone 4S AT&T 64GB Black,211.2,189.2,96.8,iPhone,iPhone 4S,1,,64GB,AT&T,Black,,,,,,
iPhone 4S AT&T 32GB White,211.2,184.8,88,iPhone,iPhone 4S,1,,32GB,AT&T,White,,,,,,
iPhone 4S AT&T 32GB Black,198,176,79.2,iPhone,iPhone 4S,1,,32GB,AT&T,Black,,,,,,
iPhone 4S AT&T 16GB  White,193.6,171.6,74.8,iPhone,iPhone 4S,1,,16GB,AT&T,White,,,,,,
iPhone 4S AT&T 16GB  Black,189.2,167.2,74.8,iPhone,iPhone 4S,1,,16GB,AT&T,Black,,,,,,
,,,,,,,,,,,,,,,,
iPhone 4 Unlocked - 32GB White,154,132,66,iPhone,iPhone 4,1,,32GB,Factory Unlocked,White,,,,,,
iPhone 4 Unlocked - 32GB Black,136.4,123.2,52.8,iPhone,iPhone 4,1,,32GB,Factory Unlocked,Black,,,,,,
iPhone 4 Unlocked - 16GB White,145.2,114.4,44,iPhone,iPhone 4,1,,16GB,Factory Unlocked,White,,,,,,
iPhone 4 Unlocked - 16GB Black,140.8,105.6,35.2,iPhone,iPhone 4,1,,16GB,Factory Unlocked,Black,,,,,,
iPhone 4 Unlocked - 8GB  White,132,96.8,30.8,iPhone,iPhone 4,1,,8GB,Factory Unlocked,White,,,,,,
iPhone 4 Unlocked - 8GB  Black,132,92.4,30.8,iPhone,iPhone 4,1,,8GB,Factory Unlocked,Black,,,,,,
,,,,,,,,,,,,,,,,
iPhone 4 Sprint - 8GB White,79.2,66,26.4,iPhone,iPhone 4,1,,8GB,Sprint,White,,,,,,
iPhone 4 Sprint - 8GB Black,74.8,61.6,26.4,iPhone,iPhone 4,1,,8GB,Sprint,Black,,,,,,
,,,,,,,,,,,,,,,,
iPhone 4 AT&T 32GB White,154,132,66,iPhone,iPhone 4,1,,32GB,AT&T,White,,,,,,
